1,Dickson Abiama,ng NGA,FW,Greuther Fürth,22,1998,24,5,726,8.1,0,1,1,0,0,3,0,90,104.9,0,0
2,Ragnar Ache,ng NGA,MFFW,Greuther Fürth,22,1998,13,1,259,2.9,0,1,1,0,0,0,0,54,38.7,0,0
3,Tyler Adams,ng NGA,MF,Greuther Fürth,22,1998,24,12,1351,15.0,0,1,1,0,0,5,0,146,173.6,0,0
4,Sargis Adamyan,ng NGA,FWMF,Greuther Fürth,22,1998,13,2,331,3.7,1,0,1,0,0,0,0,48,42.6,1,0
5,Amine Adli,ng NGA,FWMF,Greuther Fürth,22,1998,25,13,1256,14.0,3,2,5,0,0,3,0,192,161.8,3,0
6,Naouirou Ahamada,ng NGA,MFDF,Greuther Fürth,22,1998,3,0,61,0.7,0,0,0,0,0,0,0,11,8.7,0,0
7,Manuel Akanji,ng NGA,DF,Greuther Fürth,22,1998,26,25,2261,25.1,1,0,1,0,0,3,0,237,243.4,1,0
8,Kevin Akpoguma,ng NGA,DFFW,Greuther Fürth,22,1998,26,19,1527,17.0,2,2,4,0,0,5,0,214,184,2,0
9,Lucas Alario,ng NGA,FW,Greuther Fürth,22,1998,27,5,655,7.3,6,0,6,0,1,2,0,80,79.5,6,0
10,Nadiem Amiri,ng NGA,MFFW,Greuther Fürth,22,1998,13,3,369,4.1,1,0,1,0,0,0,0,44,48.2,1,0
11,Sebastian Andersson,ng NGA,FW,Greuther Fürth,22,1998,26,13,1257,14.0,3,1,4,0,0,3,0,147,149.4,3,0
12,Andrés Andrade Cedeño,ng NGA,DF,Greuther Fürth,22,1998,17,12,1046,11.6,0,0,0,0,0,4,0,0,0,0,0
13,Fredrik André Bjørkan,ng NGA,DF,Greuther Fürth,22,1998,9,2,353,3.9,0,0,0,0,0,1,0,43,44,0,0
14,Robert Andrich,ng NGA,MF,Greuther Fürth,22,1998,26,21,1817,20.2,4,2,6,0,0,5,1,191,234.4,4,0
15,Angeliño,ng NGA,DF,Greuther Fürth,22,1998,29,26,2298,25.5,2,5,7,0,0,3,0,0,0,0,0
16,Waldemar Anton,ng NGA,DF,Greuther Fürth,22,1998,29,29,2595,28.8,2,1,3,0,0,6,1,261,299.6,2,0
17,Christopher Antwi-Adjei,ng NGA,FWMF,Greuther Fürth,22,1998,25,12,1130,12.6,1,1,2,0,0,2,0,117,129.8,1,0
18,Charles Aránguiz,ng NGA,MF,Greuther Fürth,22,1998,26,16,1578,17.5,1,4,5,0,0,2,0,179,206.8,1,0
19,Maximilian Arnold,ng NGA,MF,Greuther Fürth,22,1998,34,34,2994,33.3,4,2,6,0,0,4,0,253,0,4,0
20,Takuma Asano,ng NGA,FWMF,Greuther Fürth,22,1998,27,20,1608,17.9,3,4,7,0,0,1,0,144,203.3,3,0
21,Santiago Ascacíbar,ng NGA,MF,Greuther Fürth,22,1998,28,27,2375,26.4,0,1,1,0,0,5,0,288,322.4,0,0
22,Fisnik Asllani,ng NGA,MFFW,Greuther Fürth,22,1998,2,0,9,0.1,0,0,0,0,0,0,0,1,2.6,0,0
23,Simon Asta,ng NGA,DF,Greuther Fürth,22,1998,13,9,783,8.7,0,0,0,0,0,1,0,68,98.9,0,0
24,Taiwo Awoniyi,ng NGA,FW,Greuther Fürth,22,1998,31,29,2174,24.2,15,1,16,2,2,1,0,265,239.9,0,0
25,Sardar Azmoun,ng NGA,FWMF,Greuther Fürth,22,1998,9,4,359,4.0,1,1,2,0,0,0,0,40,43.3,1,0
26,Mitchel Bakker,ng NGA,DF,Greuther Fürth,22,1998,25,19,1822,20.2,1,4,5,0,0,6,0,204,215.1,1,0
27,Ridle Baku,ng NGA,DFFW,Greuther Fürth,22,1998,34,28,2446,27.2,3,5,8,0,0,4,0,290,285.3,3,0
